좋습니다,3
재물,1
행운,3
도움,2
다툼,-3
오해,-3
금물이며,-1
명심하시기,-1
좋지,-1
기회,2
욕심,-3
애정,2
여유,2
부족한,-1
귀인,3
갈등,-2
액운,-3
미루,-1
무리한,-2
마찰,-2
멀리하,-1
떨어지,-1
이루기,1
복잡한,-2
어렵습니다,-1
무시,-2
그다지,-1
돋보이,1
떠맡,-2
짜증,-3
공연한,-1
대응,-1
빌미,-1
승부지수,1
자중하시기,-3
최소화,-1
불편함,-2
삼가셔야,-2
섣부른,-2
고백이나,2
이벤트,2
전달되지,-1
당첨기운,3
유출,-1
로또복권,3
재운,3
만족,2
피하려면,-2
활용,1
행운과도,3
움직이시기,1
문제,-1
생기,1
너무,-1
이익,1
주의,-2
적극적,1
인해,-1
긍정적,1
청탁,-1
길한,3
성사되지,-2
좋아,3
의욕,2
금전운,1
사업운,1
착수해도,2
발달,1
가급적이면,-1
사소한,-1
새롭,1
강함,1
지혜,1
손상,-2
유흥비,-2
날릴,-3
술집,-3
술값,-3
소극적,-1
실수,-2
피하,-2
주의해야,-2
